26, [[1014, 428, 20], [0, -10, 3]]
48, [[1050, 336, 16], [0, -4, -1]]
50, [[1054, 332, 16], [4, 0, 1]]
51, [[1054, 330, 16], [0, -2, 0]]
52, [[1056, 328, 16], [2, -2, 0]]
55, [[1058, 324, 16], [-2, 0, 0]]
56, [[1060, 322, 16], [2, -2, 0]]
58, [[1062, 320, 15], [0, 0, -1]]
62, [[1066, 316, 15], [4, -4, 3]]
63, [[1064, 314, 15], [-2, -2, 0]]
101, [[1090, 332, 11], [0, 2, 0]]
102, [[1090, 334, 11], [0, 2, 0]]
103, [[1090, 334, 12], [0, 0, 1]]
104, [[1092, 336, 11], [2, 2, -1]]
109, [[1092, 344, 11], [-8, 0, 4]]
110, [[1092, 346, 11], [0, 2, 0]]
111, [[1094, 348, 12], [2, 2, 1]]
119, [[1096, 364, 11], [-12, 2, -8]]
120, [[1096, 368, 10], [0, 4, -1]]
122, [[1098, 372, 10], [2, 0, 1]]
127, [[1100, 384, 10], [-6, 12, -4]]
154, [[1106, 460, 8], [2, 4, 0]]
156, [[1106, 466, 9], [-2, 2, 1]]
158, [[1106, 472, 8], [2, 4, -2]]
169, [[1106, 508, 7], [16, 12, -17]]
